hostname;VLAN;IP;MAC;
SC2CFDZEUSR2-04;Vlan3029;173.1.185.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3030;173.1.187.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3031;173.1.189.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3032;173.1.191.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3101;173.2.129.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3102;173.2.131.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3103;173.2.133.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3104;173.2.135.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3105;173.2.137.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3106;173.2.139.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3107;173.2.141.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3108;173.2.143.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3109;173.2.145.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3110;173.2.147.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3111;173.2.149.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3112;173.2.151.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3113;173.2.153.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3114;173.2.155.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3115;173.2.157.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3116;173.2.159.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3117;173.2.161.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3118;173.2.163.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3119;173.2.165.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3120;173.2.167.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3121;173.2.169.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3122;173.2.171.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3123;173.2.173.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3124;173.2.175.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3125;173.2.177.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3126;173.2.179.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3127;173.2.181.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3128;173.2.183.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3129;173.2.185.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3130;173.2.187.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3131;173.2.189.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3132;173.2.191.254;0000.0c07.ac00 (Default MAC);
SC2CFDZEUSR2-04;Vlan3877;175.57.1.62;0000.0c07.ac00 (Default MAC);
