hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;DESCRIPTION;IP_ADDRESS;
AQUICFDZEUSR1-01;Ethernet5/1;up;up;<*> AQUICFDZEUSR1-02_Eth5/1;;
AQUICFDZEUSR1-01;Ethernet5/2;down (XCVR not inserted);down;RESERVED_FUTUR_L3BTOB;;
AQUICFDZEUSR1-01;Ethernet5/3;down (XCVR not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet5/4;down (XCVR not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet5/5;down (XCVR not inserted);down;;;
AQUICFDZEUSR1-01;Ethernet5/6;down (XCVR not inserted);down;;;
AQUICFDZEUSR1-01;port-channel10;down (Administratively down);;<*> AQUICFDZEUSR1-02-Po10;;
AQUICFDZEUSR1-01;port-channel11;up;;<*> AQUICFDZEUSR1-02_Po11;;
AQUICFDZEUSR1-01;port-channel54;up;;<*> AQUICLSZEUSR1-07_8_Po10;;
AQUICFDZEUSR1-01;port-channel55;down (No operational members);;;;
AQUICFDZEUSR1-01;port-channel64;up;;<*> AQUIR1-MKTPROD-CLS-N-FXP101_102_Po10;;
AQUICFDZEUSR1-01;port-channel80;up;;SIGMA_IDS _AQUIR1-MATRIXG-01;;
AQUICFDZEUSR1-01;port-channel81;down (No operational members);;;;
AQUICFDZEUSR1-01;port-channel4090;up;;<*> AQUICLSZEUSR1-05-6_Po4090;;
AQUICFDZEUSR1-01;port-channel4091;down (No operational members);;;;
AQUICFDZEUSR1-01;port-channel4094;up;;<*> AQUICLSZEUSR1-03_Po4094;;
AQUICFDZEUSR1-01;port-channel4095;down (No operational members);;;;
AQUICFDZEUSR1-01;loopback37;up;;;192.2.245.251/32;
AQUICFDZEUSR1-01;loopback42;up;;;192.4.145.251/32;
AQUICFDZEUSR1-01;loopback53;up;;;192.2.7.251/32;
AQUICFDZEUSR1-01;loopback90;up;;LBK_MULTICAST_RP_RVP_RUS;192.2.7.253/32;
AQUICFDZEUSR1-01;Vlan1;down (Administratively down);down, autostate enabled;;;
AQUICFDZEUSR1-01;Vlan10;up;up, autostate enabled;;175.128.79.252/21;
AQUICFDZEUSR1-01;Vlan11;up;up, autostate enabled;;175.192.79.252/21;
AQUICFDZEUSR1-01;Vlan12;up;up, autostate enabled;;175.224.79.252/21;
AQUICFDZEUSR1-01;Vlan15;up;up, autostate enabled;;175.56.71.253/21;
AQUICFDZEUSR1-01;Vlan16;up;up, autostate enabled;;175.56.79.253/21;
AQUICFDZEUSR1-01;Vlan17;up;up, autostate enabled;;175.56.87.253/21;
AQUICFDZEUSR1-01;Vlan18;up;up, autostate enabled;;175.56.95.253/21;
AQUICFDZEUSR1-01;Vlan19;up;up, autostate enabled;;175.56.103.253/21;
AQUICFDZEUSR1-01;Vlan20;up;up, autostate enabled;ADMIN_NAS  Internet Address is 174.129.8.252/24;;
AQUICFDZEUSR1-01;Vlan22;down (Administratively down);down, autostate enabled;PZEUS_NonRouted_Antivirus - KEEP SHUT L2 ONLY  Internet Address is 10.0.64.1/21;;
