hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;HARDWARE_TYPE;ADDRESS;BIA;DESCRIPTION;IP_ADDRESS;MTU;DUPLEX;SPEED;BANDWIDTH;DELAY;ENCAPSULATION;
;Ethernet1/24;down (Administratively down);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fc7;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/25;down (Administratively down);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fc8;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/26;down (Administratively down);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fc9;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/27;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fca;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/28;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fcb;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/29;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fcc;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/30;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fcd;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/31;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fce;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/32;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fcf;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/33;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd0;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/34;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fd1;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
